,rule_lhs,rule_rhs,lhs,rhs,judgment,confidence
4705,defend,regain,The Navy defend its presence,The Navy regain its presence,No,1.0
4706,lay in,sit up in,The corpses lay in piles,The corpses sit up in piles,No,1.0
4707,plan for,save for,No one plan for their possessions,No one save for their possessions,No,1.0
4708,experience anything like,write something like,anybody experience anything like this before,anybody write something like this before,No,1.0
4709,be employed by,be purchased by,Williams be employed by Duke,Williams be purchased by Duke,No,1.0
4710,pray for,cry for,a pastor pray for his sheep,a pastor cry for his sheep,No,1.0
4711,send e-mail to,feel free to email,Only registered users send e-mail to other users,Only registered users feel free to email other users,No,1.0
4712,face the threat of,be doomed to,London face the threat of the IRA.,London be doomed to the IRA.,No,1.0
4713,be valid through,begin on,"This offer be valid through November 1 , 2008","This offer begin on November 1 , 2008",No,1.0
4714,get out of,get into,inflation get out of control,inflation get into control,No,1.0
4715,be the best known of,be the last of,Histamine be the best known of these chemicals,Histamine be the last of these chemicals,No,1.0
4716,integrate,restrict,The software integrate paperwork,The software restrict paperwork,No,1.0
4717,be heavy in,be moderate in,This site be heavy in images,This site be moderate in images,No,1.0
4718,reach,fail to reach,the heat reach the inside,the heat fail to reach the inside,No,1.0
4719,incur the wrath of,follow the word of,speed incur the wrath of authorities,speed follow the word of authorities,No,1.0
4720,love for,look for,Tom love for taylor,Tom look for taylor,No,1.0
4721,be to bring,be to keep,The idea be to bring information,The idea be to keep information,No,1.0
4722,read through,reread,Don read through our guide,Don reread our guide,No,1.0
4723,pass on,be killed on,him pass on that evening,him be killed on that evening,No,1.0
4724,arrange,have a private bathroom with,Guests arrange a birthday party,Guests have a private bathroom with a birthday party,No,1.0
4725,go by,rent,The party go by canoe,The party rent canoe,No,1.0
4726,blame,talk to,India blame Pakistan,India talk to Pakistan,No,1.0
4727,start to like,do not like,Sruthi start to like Pandu,Sruthi do not like Pandu,No,1.0
4728,stop think about,have dream about,These MILF stop think about cocks,These MILF have dream about cocks,No,1.0
4729,punch,hug,Josiah punch him,Josiah hug him,No,1.0
4730,have plenty of,be short of,consumers have plenty of choices,consumers be short of choices,No,1.0
4731,get out of,get rid of,the soldier get out of his car,the soldier get rid of his car,No,1.0
4732,treat people like,take a bunch of,the associates treat people like customers,the associates take a bunch of customers,No,1.0
4733,be deployed,be supported,sets be deployed this way,sets be supported this way,No,1.0
4734,do some research on,decide to buy,youe do some research on popcorn,youe decide to buy popcorn,No,1.0
4735,accept,pay via,the Congressman accept contributions,the Congressman pay via contributions,No,1.0
4736,be a senior at,be a 2005 graduate of,Chris be a senior at Boston College,Chris be a 2005 graduate of Boston College,No,1.0
4737,be good for,appeal to,TV be good for kids,TV appeal to kids,No,1.0
4738,type,misspell,the user type their credentials,the user misspell their credentials,No,1.0
4739,want to do,do all of,Our country want to do the same,Our country do all of the same,No,1.0
4740,agree to notify,be liable to@R@,Owner agree to notify Marina,Marina be liable to Owner,No,1.0
4741,be funny as,be bad as,this thing be funny as shit,this thing be bad as shit,No,1.0
4742,edit,copy,No one edit your post,No one copy your post,No,1.0
4743,charge a premium for,be the one pay for,printers charge a premium for engraving,printers be the one pay for engraving,No,1.0
4744,want to be free from,become free from,The colonists want to be free from England,The colonists become free from England,No,1.0
4745,share,ask for,The experts share their experiences,The experts ask for their experiences,No,1.0
4746,ignore,assure,Most of them ignore their chance,Most of them assure their chance,No,1.0
4747,shake,nod,The Red Queen shake her head,The Red Queen nod her head,No,1.0
4748,need more information about,get more information about,employees need more information about the plan,employees get more information about the plan,No,1.0
4749,be full of,inspire,The arcade be full of games,The arcade inspire games,No,1.0
4750,walk for,sleep for,Men walk for two to three hours,Men sleep for two to three hours,No,1.0
4751,be entitled to,be denied,the defendants be entitled to relief,the defendants be denied relief,No,1.0
4752,fail to file,be signed by@R@,The claimant fail to file a motion,a motion be signed by The claimant,No,1.0
4753,go on,like to go on,a house go on the market,a house like to go on the market,No,1.0
4754,suppress,compress,ARVs suppress the virus,ARVs compress the virus,No,1.0
4755,apologize in,conserve in,doctors apologize in these cases,doctors conserve in these cases,No,1.0
4756,belong to,pass to,the teddy bear belong to his daughter,the teddy bear pass to his daughter,No,1.0
4757,have load of,take lot of,This phone have load of features,This phone take lot of features,No,1.0
4758,be an easy way for,be a great opportunity for,Sitemaps be an easy way for webmasters,Sitemaps be a great opportunity for webmasters,No,1.0
4759,start use,test,Manufacturers start use electronic systems,Manufacturers test electronic systems,No,1.0
4760,be brought back to,go to live in,his body be brought back to Florence,his body go to live in Florence,No,1.0
4761,have no limit on,impose restriction on,Nevada have no limit on losses,Nevada impose restriction on losses,No,1.0
4762,join in with,nod with,the audience join in with performance,the audience nod with performance,No,1.0
4763,return from,be a village in,Lenin return from Switzerland,Lenin be a village in Switzerland,No,1.0
4764,identify,translate,experts identify your finds,experts translate your finds,No,1.0
4765,reassemble,calibrate,Children reassemble the picture cards,Children calibrate the picture cards,No,1.0
4766,mystify,seem obvious to,This process mystify scientists,This process seem obvious to scientists,No,1.0
4767,be a far cry from,be a novel by,Guadalajara be a far cry from Tijuana,Guadalajara be a novel by Tijuana,No,1.0
4768,die of,be hospitalized with,A dog die of health problems,A dog be hospitalized with health problems,No,1.0
4769,be secretary of,be the chairman of,Baker be secretary of State,Baker be the chairman of State,No,1.0
4770,be spoken about,be painful to,the truth be spoken about him,the truth be painful to him,No,1.0
4771,pay for,prepare for,their families pay for educational expenses,their families prepare for educational expenses,No,1.0
4772,be willing to tell,want to hear,any families be willing to tell their stories,any families want to hear their stories,No,1.0
4773,provide for,be provided for,God provide for our use,God be provided for our use,No,1.0
4774,disagree with,address,bettors disagree with one another,bettors address one another,No,1.0
4775,be available to,be awarded to,Some content be available to subscribers,Some content be awarded to subscribers,No,1.0
4776,be a senior at,be a graduate student at,Chris be a senior at Boston College,Chris be a graduate student at Boston College,No,1.0
4777,dont talk about,want to think about,Women dont talk about these things,Women want to think about these things,No,1.0
4778,belong to,remain with,the teddy bear belong to his daughter,the teddy bear remain with his daughter,No,1.0
4779,be on for,be cancelled for,the system be on for a long time,the system be cancelled for a long time,No,1.0
4780,be simple to,take a long time to,The questions be simple to state,The questions take a long time to state,No,1.0
4781,order,have the largest inventory of,The FERC order the California Power Exchange,The FERC have the largest inventory of the California Power Exchange,No,1.0
4782,make call to,retrieve datum from,Italy make call to San Marino,Italy retrieve datum from San Marino,No,1.0
4783,have one set of,have 2 set of,females have one set of chromosomes,females have 2 set of chromosomes,No,1.0
4784,dont talk about,get wrapped up in,Women dont talk about these things,Women get wrapped up in these things,No,1.0
4785,be chained to,be hung on,Angel be chained to the bed,Angel be hung on the bed,No,1.0
4786,be sold throughout,be imported into,These dogs be sold throughout America,These dogs be imported into America,No,1.0
4787,have many benefit for,do some form of@R@,the partnership have many benefit for both companies,both companies do some form of the partnership,No,1.0
4788,lay,need to lay,the goose lay the golden egg,the goose need to lay the golden egg,No,1.0
4789,be held hostage by,have no link to,Our lives be held hostage by Our failures,Our lives have no link to Our failures,No,1.0
4790,be smarter than,be more susceptible than,My dad be smarter than your dad,My dad be more susceptible than your dad,No,1.0
4791,be advised to review,be designed to assist@R@,Members be advised to review the rules,the rules be designed to assist Members,No,1.0
4792,collect,expose,Yahoo! collect order information,Yahoo! expose order information,No,1.0
4793,be glorified in,be alive in,Christ be glorified in his body,Christ be alive in his body,No,1.0
4794,forgive,pay the penalty for,God forgive us of all our sin,God pay the penalty for us of all our sin,No,1.0
4795,mutter to,brace,Threepio mutter to Artoo,Threepio brace Artoo,No,1.0
4796,shoot,be mentioned above,Jenna shoot Frank,Jenna be mentioned above Frank,No,1.0
4797,be taken,be shown,This picture be taken last night,This picture be shown last night,No,1.0
4798,be supported by,be board certified by,The study be supported by the American Society,The study be board certified by the American Society,No,1.0
4799,think about,understand,many people think about food,many people understand food,No,1.0
4800,gain,retain,the Allies gain the upper hand,the Allies retain the upper hand,No,1.0
4801,provide food for,be toxic to,the algae provide food for the coral,the algae be toxic to the coral,No,1.0
4802,keep develop,have no confidence in,the companies keep develop new drugs,the companies have no confidence in new drugs,No,1.0
4803,be rare for,be easy for,BACTRIM be rare for an unapproved use,BACTRIM be easy for an unapproved use,No,1.0
4804,be compensated by,be crowned by,Bush be compensated by Dubai,Bush be crowned by Dubai,No,1.0
4805,steal,refuse,the competition steal your clients,the competition refuse your clients,No,1.0
4806,await,seek,Mumm-Ra await Drag-Ron,Mumm-Ra seek Drag-Ron,No,1.0
4807,add to,be a part of,the Lord add to the church,the Lord be a part of the church,No,1.0
4808,tease,restrain@R@,Caroline tease him,him restrain Caroline,No,1.0
4809,gaze up at,lean into,his grandson gaze up at him,his grandson lean into him,No,1.0
4810,commit a crime against,be concerned for,its employees commit a crime against humanity,its employees be concerned for humanity,No,1.0
4811,be good for,be harmful to,the rivalry be good for the state,the rivalry be harmful to the state,No,1.0
4812,ask the question in,be asked in,the gentleman ask the question in Texas,the gentleman be asked in Texas,No,1.0
4813,endorse,condemn,The New Yorker endorse Barack Obama,The New Yorker condemn Barack Obama,No,1.0
4814,become more successful in,want to succeed in,men become more successful in the science,men want to succeed in the science,No,1.0
4815,manage,obtain,The VA manage hospitals,The VA obtain hospitals,No,1.0
4816,think for,hope for,Slim think for a while,Slim hope for a while,No,1.0
4817,increase the cost of,reduce the demand for,Regulations increase the cost of building,Regulations reduce the demand for building,No,1.0
4818,tease,abandon,The guys tease their fans,The guys abandon their fans,No,1.0
4819,have a crush on,be played by,Michael Skakel have a crush on Martha Moxley,Michael Skakel be played by Martha Moxley,No,1.0
4820,show one of,show some of,The picture show one of the seminars,The picture show some of the seminars,No,1.0
4821,order,be affiliated with,The FERC order the California Power Exchange,The FERC be affiliated with the California Power Exchange,No,1.0
4822,take a road trip to,get home to,the crew take a road trip to Bristol,the crew get home to Bristol,No,1.0
4823,stay for,plan,Children stay for the whole day,Children plan the whole day,No,1.0
4824,end up lose,avoid lose,The Vikings end up lose this game,The Vikings avoid lose this game,No,1.0
4825,be new to,be interested in,student be new to computers,student be interested in computers,No,1.0
4826,get through,read about,the driver get through the gears,the driver read about the gears,No,1.0
4827,trust,disagree with,The horse trust his rider,The horse disagree with his rider,No,1.0
4828,want to see,blame,All judges want to see him,All judges blame him,No,1.0
4829,be normal for,be tough for,the water be normal for wells,the water be tough for wells,No,1.0
4830,make some for,buy the book for,friends make some for him,friends buy the book for him,No,1.0
4831,be light in,be gray in,a room be light in color,a room be gray in color,No,1.0
4832,vary across,be consistent across,urban and rural areas vary across countries,urban and rural areas be consistent across countries,No,1.0
4833,notice some of,think some of,The crew notice some of the damage,The crew think some of the damage,No,1.0
4834,rely on,be grateful for,Judges rely on the information,Judges be grateful for the information,No,1.0
4835,tend to neglect,take more responsibility for,Robert tend to neglect his family,Robert take more responsibility for his family,No,1.0
4836,wait on,pray for,a client wait on a message,a client pray for a message,No,1.0
4837,aim,embed,The hunters aim their weapons,The hunters embed their weapons,No,1.0
4838,punch,press,Josiah punch him,Josiah press him,No,1.0
4839,be better than,be the same as,no one be better than any other,no one be the same as any other,No,1.0
4840,wear,refuse to wear,Others wear military uniforms,Others refuse to wear military uniforms,No,1.0
4841,attend,be a 2001 graduate of,The student attend courses,The student be a 2001 graduate of courses,No,1.0
4842,be a good candidate for,want to consider,she/he be a good candidate for the award,she/he want to consider the award,No,1.0
4843,be scheduled to return to,be ordered to return to,Hamasaki be scheduled to return to Japan,Hamasaki be ordered to return to Japan,No,1.0
4844,owe to,come to know,Americans owe to these soldiers,Americans come to know these soldiers,No,1.0
4845,have a question for,receive a call from,Ethan have a question for Paul,Ethan receive a call from Paul,No,1.0
4846,collect,generate,Students collect clues,Students generate clues,No,1.0
4847,leave for,return from,The players leave for England,The players return from England,No,1.0
4848,dream about,go to visit,those people dream about whales,those people go to visit whales,No,1.0
4849,generate,need to generate,The alternative plant generate electricity,The alternative plant need to generate electricity,No,1.0
4850,aim,interconnect,The hunters aim their weapons,The hunters interconnect their weapons,No,1.0
4851,receive from,write to,Paul receive from the Lord,Paul write to the Lord,No,1.0
4852,quit,be fired from,Michelangelo quit the Medici court,Michelangelo be fired from the Medici court,No,1.0
4853,work ok for,break after,the program work ok for a while,the program break after a while,No,1.0
4854,be a sad day for,be a disaster for,Yesterday be a sad day for this country,Yesterday be a disaster for this country,No,1.0
4855,wake up in,come in in,THE GUYS wake up in THE MORNING,THE GUYS come in in THE MORNING,No,1.0
4856,invade,be driven out of,Iraq invade Iran,Iraq be driven out of Iran,No,1.0
4857,aim,stack,The hunters aim their weapons,The hunters stack their weapons,No,1.0
4858,sign all of,produce most of,The United States sign all of these treaties,The United States produce most of these treaties,No,1.0
4859,cover,check,chocolate cover strawberries,chocolate check strawberries,No,1.0
4860,continue to pay,fail to pay,these tenants continue to pay rent,these tenants fail to pay rent,No,1.0
4861,increase,help improve,Israel increase West Bank settlements,Israel help improve West Bank settlements,No,1.0
4862,stare at,shake,Tula stare at him,Tula shake him,No,1.0
4863,carry,be infected with,Movies carry messages,Movies be infected with messages,No,1.0
4864,want to reconsider,need to simplify,Council want to reconsider this initiative,Council need to simplify this initiative,No,1.0
4865,be taken,be held,This picture be taken last night,This picture be held last night,No,1.0
4866,be submitted to,be adopted by,the application be submitted to the host organization,the application be adopted by the host organization,No,1.0
4867,guarantee,have greater than,The section guarantee equality,The section have greater than equality,No,1.0
4868,compete with,replace,Alaska compete with Ohio,Alaska replace Ohio,No,1.0
4869,be sure of,wonder about,no one be sure of his innocence,no one wonder about his innocence,No,1.0
4870,be the owner of,look to buy,Greg Coon be the owner of Eyecon Video Productions,Greg Coon look to buy Eyecon Video Productions,No,1.0
4871,hear about,laugh at,Every Christian hear about spiritual warfare,Every Christian laugh at spiritual warfare,No,1.0
4872,play a role in,be essential to,stress play a role in depression,stress be essential to depression,No,1.0
4873,employ more than,lay off,Our company employ more than 400 workers,Our company lay off 400 workers,No,1.0
4874,be open to,be closed to,The survey be open to students,The survey be closed to students,No,1.0
4875,be dragged from,be allowed out of,The victims be dragged from their homes,The victims be allowed out of their homes,No,1.0
4876,carry,be required to carry,rumors carry a grain of truth,rumors be required to carry a grain of truth,No,1.0
4877,punch,need to press,Josiah punch him,Josiah need to press him,No,1.0
4878,be infected with,be free of,my home computer be infected with a virus,my home computer be free of a virus,No,1.0
4879,work since,run since,Anne work since January,Anne run since January,No,1.0
4880,like go to,afford to go to,None of us like go to the dentist,None of us afford to go to the dentist,No,1.0
4881,do this on,sell on,the consumer do this on their own,the consumer sell on their own,No,1.0
4882,agree with,thank,the Torah agree with science,the Torah thank science,No,1.0
4883,relocate from,get home to,Most of my family relocate from New York,Most of my family get home to New York,No,1.0
4884,sympathize with,admire,the Board sympathize with the resident,the Board admire the resident,No,1.0
4885,know none of,hear none of,him know none of the three teams,him hear none of the three teams,No,1.0
4886,be the son of,be married to,Jesus be the son of God,Jesus be married to God,No,1.0
4887,recommend,write about,the doctor recommend a biopsy,the doctor write about a biopsy,No,1.0
4888,get into,get out of,Nobody get into work,Nobody get out of work,No,1.0
4889,reduce,improve,The administration reduce training,The administration improve training,No,1.0
4890,be removed from,be added to,the caffeine be removed from the coffee,the caffeine be added to the coffee,No,1.0
4891,be 8 mile from,be 15 minute from,The hotel be 8 mile from Bristol International Airport,The hotel be 15 minute from Bristol International Airport,No,1.0
4892,climb on,jump onto,the little girl climb on his back,the little girl jump onto his back,No,1.0
4893,feel comfortable with,be unhappy with,children feel comfortable with dental treatment,children be unhappy with dental treatment,No,1.0
4894,play with,live with,Maria play with my dick,Maria live with my dick,No,1.0
4895,kick,smile to,Donna kick Julie,Donna smile to Julie,No,1.0
4896,think about,care about,guys think about this shot,guys care about this shot,No,1.0
4897,be a sad day for,be a great loss to,Yesterday be a sad day for this country,Yesterday be a great loss to this country,No,1.0
4898,mention,remember,Hitler mention God,Hitler remember God,No,1.0
4899,elaborate on,take exception to,The International Committee of the Red Cross elaborate on the Geneva Conventions,The International Committee of the Red Cross take exception to the Geneva Conventions,No,1.0
4900,have thousand of,spend billion of,These list have thousand of names,These list spend billion of names,No,1.0
4901,enjoy listen to,learn from,others enjoy listen to the sounds,others learn from the sounds,No,1.0
4902,be happy to do,be asked to do,teens be happy to do their research,teens be asked to do their research,No,1.0
4903,make prediction about,see change in,Users make prediction about the future,Users see change in the future,No,1.0
4904,sell in,be popular in,Nintendo sell in Japan,Nintendo be popular in Japan,No,1.0
4905,treat people like,deserve to be treated like,the associates treat people like customers,the associates deserve to be treated like customers,No,1.0
4906,have support for,be faster than,The device have support for SMS,The device be faster than SMS,No,1.0
4907,smile upon,tempt@R@,the women smile upon him,him tempt the women,No,1.0
4908,be available to,be available free to,Grants be available to states,Grants be available free to states,No,1.0
4909,be lowered by,go up about,the temperature be lowered by one more degree,the temperature go up about one more degree,No,1.0
4910,be accepted into,train at,applicants be accepted into the University community,applicants train at the University community,No,1.0
4911,be taken in,be held in,This picture be taken in Sierra Leone,This picture be held in Sierra Leone,No,1.0
4912,repeat,reverse,The cycle repeat itself,The cycle reverse itself,No,1.0
4913,jump in,exit,his friend jump in the hole,his friend exit the hole,No,1.0
4914,appear to,pray to@R@,God appear to Cornelius,Cornelius pray to God,No,1.0
4915,try to make,need to make,Drew Barrymore try to make love,Drew Barrymore need to make love,No,1.0
4916,be used to,be done with,the dog be used to this habit,the dog be done with this habit,No,1.0
4917,be fair to,mean a lot to,outsiders be fair to him,outsiders mean a lot to him,No,1.0
4918,move with,share with,The prince move with his daughter,The prince share with his daughter,No,1.0
4919,consider play,stop play,Jamie Foxx consider play Barack Obama,Jamie Foxx stop play Barack Obama,No,1.0
4920,be tortured by,be captured by,Prisoners be tortured by the thousands,Prisoners be captured by the thousands,No,1.0
4921,start at,conclude at,students start at their convenience,students conclude at their convenience,No,1.0
4922,forget,identify,Ill forget the screams,Ill identify the screams,No,1.0
4923,pitch in,leave off in,the Philistines pitch in Aphek,the Philistines leave off in Aphek,No,1.0
4924,be owned by,be taken over by,The comments be owned by the poster,The comments be taken over by the poster,No,1.0
4925,punch,go after,Josiah punch him,Josiah go after him,No,1.0
4926,command,fight with,God command Moses,God fight with Moses,No,1.0
4927,be dragged from,open the door of,The victims be dragged from their homes,The victims open the door of their homes,No,1.0
4928,be written in,be read in,the thread be written in November,the thread be read in November,No,1.0
4929,flip,slide,jimi hendrix flip the guitar,jimi hendrix slide the guitar,No,1.0
4930,be on for,be gone for,the system be on for a long time,the system be gone for a long time,No,1.0
4931,spend 4 day in,spend five day in,My wife spend 4 day in hospital,My wife spend five day in hospital,No,1.0
4932,fly to,be based in,The team fly to Asia,The team be based in Asia,No,1.0
4933,goad,escape,Hezbollah goad the fight,Hezbollah escape the fight,No,1.0
4934,be interested in participate in,have the opportunity to participate in,women be interested in participate in this study,women have the opportunity to participate in this study,No,1.0
4935,drop on,be thrown on,Her head drop on her breast,Her head be thrown on her breast,No,1.0
4936,set,break,a lot of people set the bar,a lot of people break the bar,No,1.0
4937,go out in,hunt in,Ben Franklin go out in a storm,Ben Franklin hunt in a storm,No,1.0
4938,be a bit of,become less of,Fat be a bit of a dirty word,Fat become less of a dirty word,No,1.0
4939,cope with,be vulnerable to,countries cope with climate change,countries be vulnerable to climate change,No,1.0
4940,sit in,rise from,the participants sit in a circle,the participants rise from a circle,No,1.0
4941,vote in,boycott,the committee vote in favor of the bill,the committee boycott favor of the bill,No,1.0
4942,smile through,wipe off,The little girl smile through her tears,The little girl wipe off her tears,No,1.0
4943,allow the use of,make extensive use of,a search engine allow the use of Boolean operators,a search engine make extensive use of Boolean operators,No,1.0
4944,be the author of,read from,Ed Bagley be the author of Ed Bagley 's Blog,Ed Bagley read from Ed Bagley 's Blog,No,1.0
4945,sit at,be near,Customers sit at this table,Customers be near this table,No,1.0
4946,have a problem with,be concerned about,the two groups have a problem with each other,the two groups be concerned about each other,No,1.0
4947,explain,implement,This document explain our privacy policy,This document implement our privacy policy,No,1.0
4948,enlist on,be married on,Both men enlist on board,Both men be married on board,No,1.0
4949,pull out of,finish in,The young boys pull out of school,The young boys finish in school,No,1.0
4950,dont talk about,be allowed to talk about,Women dont talk about these things,Women be allowed to talk about these things,No,1.0
4951,be alive during,die after,The generation be alive during the tribulation,The generation die after the tribulation,No,1.0
4952,want to break,need to break,alcoholics want to break their addiction,alcoholics need to break their addiction,No,1.0
4953,stand on,land on,each section stand on its own,each section land on its own,No,1.0
4954,be good news for,be bad news for,The bill be good news for consumer groups,The bill be bad news for consumer groups,No,1.0
4955,come in,be out of,no customers come in the store,no customers be out of the store,No,1.0
4956,contain the title of,describe the content of,The first page contain the title of the paper,The first page describe the content of the paper,No,1.0
4957,click on,need to click,Some users click on the links,Some users need to click the links,No,1.0
4958,want to drive,learn to drive,everybody want to drive a Porsche,everybody learn to drive a Porsche,No,1.0
4959,teach,teach about,This three-day course teach students,This three-day course teach about students,No,1.0
4960,need to believe in,need to love,Jews need to believe in God,Jews need to love God,No,1.0
4961,learn to understand,learn to manage,a man 's wife learn to understand him,a man 's wife learn to manage him,No,1.0
4962,be a new thing for,be a big thing for,the internet be a new thing for business,the internet be a big thing for business,No,1.0
4963,be wrong for,be reasonable for,Reagan be wrong for our country,Reagan be reasonable for our country,No,1.0
4964,attend,graduate from,Anne attend Smith College,Anne graduate from Smith College,No,1.0
4965,remember,laugh at,No one remember the speech,No one laugh at the speech,No,1.0
4966,consider,welcome,Investors consider the investment objectives,Investors welcome the investment objectives,No,1.0
4967,be difficult for,be necessary for,other foods be difficult for birds,other foods be necessary for birds,No,1.0
4968,get married on,register by,a couple get married on the beach,a couple register by the beach,No,1.0
4969,be closed for,be closed to,school be closed for Veterans Day,school be closed to Veterans Day,No,1.0
4970,help rescue,be aboard@R@,the social worker help rescue him,him be aboard the social worker,No,1.0
4971,pose with,open up about,some kids pose with him,some kids open up about him,No,1.0
4972,be accessed,be encrypted,This page be accessed 523 times,This page be encrypted 523 times,No,1.0
4973,have a pair of,have two pair of,the rider have a pair of scales,the rider have two pair of scales,No,1.0
4974,be made of,look like,The gears be made of steel,The gears look like steel,No,1.0
4975,crash for,be awake for,the computer crash for the second time,the computer be awake for the second time,No,1.0
4976,accept,await,Lewis accept this truth,Lewis await this truth,No,1.0
4977,be given,start with,each of us be given a special gift,each of us start with a special gift,No,1.0
4978,be involved in,be important in,Only a minority be involved in violence,Only a minority be important in violence,No,1.0
4979,read in,write in,Coleman read in response,Coleman write in response,No,1.0
4980,climb out of,sleep in,The King climb out of bed,The King sleep in bed,No,1.0
4981,sit on,lay on,the adult sit on the nest,the adult lay on the nest,No,1.0
4982,be devoid of,overflow with,His life be devoid of motivation,His life overflow with motivation,No,1.0
4983,be the meaning of,be the mystery of,Such be the meaning of polytheism,Such be the mystery of polytheism,No,1.0
4984,have a discussion with,have lunch with,Picard have a discussion with Guinan,Picard have lunch with Guinan,No,1.0
4985,display,track,The site display many photos,The site track many photos,No,1.0
4986,lose about,gain over,the United States lose about a million soldiers,the United States gain over a million soldiers,No,1.0
4987,put their faith in,rebel against,his disciples put their faith in him,his disciples rebel against him,No,1.0
4988,be martyred in,be martyred for,Matthew be martyred in Ethiopia,Matthew be martyred for Ethiopia,No,1.0
4989,like to design,get to design,Peter like to design things,Peter get to design things,No,1.0
4990,be aware of,ignore,Parents be aware of developmental milestones,Parents ignore developmental milestones,No,1.0
4991,be difficult for,be beyond,Mandarin be difficult for English speakers,Mandarin be beyond English speakers,No,1.0
4992,stop at,go from,This book stop at the same place,This book go from the same place,No,1.0
4993,be better for,be ready for,hemp be better for our planet,hemp be ready for our planet,No,1.0
4994,get to do something about,get to protect,the federal government get to do something about illegal immigration,the federal government get to protect illegal immigration,No,1.0
4995,need to return to,wish to return to,Students need to return to their lockers,Students wish to return to their lockers,No,1.0
4996,have a crush on,meet,Mai have a crush on Andy,Mai meet Andy,No,1.0
4997,need to be honest with,try to relate to,Husbands and wives need to be honest with each other,Husbands and wives try to relate to each other,No,1.0
4998,need to repeat,be ready to proceed with,Users need to repeat this cycle,Users be ready to proceed with this cycle,No,1.0
4999,be beheaded in,be hanged in,Anne Boleyn be beheaded in the tower,Anne Boleyn be hanged in the tower,No,1.0
5000,want to commit,be tried for,The lady want to commit suicide,The lady be tried for suicide,No,1.0
5001,look around,run into,Seth look around him,Seth run into him,No,1.0
5002,want to reconsider,understand the logic of,Council want to reconsider this initiative,Council understand the logic of this initiative,No,1.0
5003,contain the title of,link to,The first page contain the title of the paper,The first page link to the paper,No,1.0
5004,accomplish this in,get money in,Most people accomplish this in a few minutes,Most people get money in a few minutes,No,1.0
5005,wait to get,die to get,Matthew wait to get the news,Matthew die to get the news,No,1.0
5006,utilize,convert,All applicants utilize the online form,All applicants convert the online form,No,1.0
5007,have trouble with,feel comfortable with,children have trouble with the lesson,children feel comfortable with the lesson,No,1.0
5008,stop,shake,police stop a driver,police shake a driver,No,1.0
5009,be simple to,be desirable to,The questions be simple to state,The questions be desirable to state,No,1.0
5010,be open to,be closed to,The gallery be open to visitors,The gallery be closed to visitors,No,1.0
5011,purchase,sell,those users purchase online,those users sell online,No,1.0
5012,keep go to,dont go to,blame keep go to someone else,blame dont go to someone else,No,1.0
5013,thank,believe,Charisse thank him,Charisse believe him,No,1.0
5014,set,raise,a lot of people set the bar,a lot of people raise the bar,No,1.0
5015,have a field day with,refuse to cover,Critics have a field day with this one,Critics refuse to cover this one,No,1.0
5016,read like,be meant to be,this true story read like fiction,this true story be meant to be fiction,No,1.0
5017,want to be in,get to be in,Ive want to be in the music business,Ive get to be in the music business,No,1.0
5018,spend about,walk for about,Visitors spend about two hours,Visitors walk for about two hours,No,1.0
5019,be gifted in,have difficulty in,their kids be gifted in some way,their kids have difficulty in some way,No,1.0
5020,employ more than,have less than,Our company employ more than 400 workers,Our company have less than 400 workers,No,1.0
5021,live up to,be beyond,your kids live up to your expectation,your kids be beyond your expectation,No,1.0
5022,demonize,be soft on,the religious right demonize homosexuals,the religious right be soft on homosexuals,No,1.0
5023,count,get rid of,my father count the days,my father get rid of the days,No,1.0
5024,participate in,sponsor,other interested parties participate in the hearing,other interested parties sponsor the hearing,No,1.0
5025,speak to,catch up with,Mama speak to him,Mama catch up with him,No,1.0
5026,be fired in,write this article in,journalists be fired in the morning,journalists write this article in the morning,No,1.0
5027,attend,be a 2006 graduate of,The family attend the Unitarian church,The family be a 2006 graduate of the Unitarian church,No,1.0
5028,arrive at,leave for,Ferry services arrive at the port,Ferry services leave for the port,No,1.0
5029,want to marry,be married to,Chris want to marry May,Chris be married to May,No,1.0
5030,attach,have private bathroom with,The Moderator attach a file,The Moderator have private bathroom with a file,No,1.0
5031,be a country in,be bordered by,Zambia be a country in southern Africa,Zambia be bordered by southern Africa,No,1.0
5032,be happy about,deserve,Not everyone be happy about this change,Not everyone deserve this change,No,1.0
5033,have the face of,think like,The boy have the face of an angel,The boy think like an angel,No,1.0
5034,wade in,go fishing in,these two wade in the water,these two go fishing in the water,No,1.0
5035,join,talk to@R@,Jane join her sister,her sister talk to Jane,No,1.0
5036,come into,return to,A guy come into the room,A guy return to the room,No,1.0
5037,bend,shorten,The prosecutors bend the law,The prosecutors shorten the law,No,1.0
5038,stay at,pick,The women stay at the van,The women pick the van,No,1.0
5039,be a cousin of,be the grandson of,Greg be a cousin of mine,Greg be the grandson of mine,No,1.0
5040,kill,kill more than,the Jews kill him,the Jews kill more than him,No,1.0
5041,result in,be a result of,globalization result in cultural uniformity,globalization be a result of cultural uniformity,No,1.0
5042,commence in,conclude in,the project commence in June,the project conclude in June,No,1.0
5043,be required to select,be encouraged to consult with,The sponsor be required to select investigators,The sponsor be encouraged to consult with investigators,No,1.0
5044,know none of,see all of,him know none of the three teams,him see all of the three teams,No,1.0
5045,be enrolled for,be required to register for,A student be enrolled for less than six credits,A student be required to register for less than six credits,No,1.0
