rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
postpone	cut back on	the couple postpone their wedding	the couple cut back on their wedding	No	1
arrive at	drive to	the children arrive at school	the children drive to school	No	1
be a normal part of	be a important part of	Recessions be a normal part of economic cycles	Recessions be a important part of economic cycles	No	1
be earlier in	be the last one of	my passion be earlier in my life	my passion be the last one of my life	No	1
think about	prefer	many people think about food	many people prefer food	No	1
look to meet	meet up with	Danny look to meet the fans	Danny meet up with the fans	No	1
return from	die in	Lenin return from Switzerland	Lenin die in Switzerland	No	1
want to do	be ready to do	Our country want to do the same	Our country be ready to do the same	No	1
remind	exclude	Mitchell remind him	Mitchell exclude him	No	1
be recognized at	be supported at	The winner be recognized at the Annual Meeting	The winner be supported at the Annual Meeting	No	1
provide comfort to	bring joy to	clothes provide comfort to her body	clothes bring joy to her body	No	1
be the younger brother of	be joined by	Dulles be the younger brother of John Foster Dulles	Dulles be joined by John Foster Dulles	No	1
sign all of	receive a reply to	The United States sign all of these treaties	The United States receive a reply to these treaties	No	1
be presented to	be approved by	Survey be presented to the Board	Survey be approved by the Board	No	1
sell	sell more than	investors sell their holdings	investors sell more than their holdings	No	1
seem to be in	need to be in	Everybody seem to be in good spirits	Everybody need to be in good spirits	No	1
be recognized at	be considered at	The winner be recognized at the Annual Meeting	The winner be considered at the Annual Meeting	No	1
become part of	be a small city in	the background become part of the rhythm	the background be a small city in the rhythm	No	1
speak of	be fond of	Jesus speak of abiding	Jesus be fond of abiding	No	1
be named after	be visited by	My younger son be named after him	My younger son be visited by him	No	1
be told to have	be awake during	women be told to have a career	women be awake during a career	No	1
seek	have an exciting opportunity for	others seek medical care	others have an exciting opportunity for medical care	No	1
come to think of	sound good to	humans come to think of ourselves	humans sound good to ourselves	No	1
be guided to	please proceed to	rockets be guided to their target	rockets please proceed to their target	No	1
be responsible for	control	Customer be responsible for all shipping and handling charges	Customer control all shipping and handling charges	No	1
thank	remind	Charisse thank him	Charisse remind him	No	1
take advantage of	control	Guests take advantage of the room and laundry services	Guests control the room and laundry services	No	1
be required by	violate	oxygen be required by your body	oxygen violate your body	No	1
depend on	have nothing to do with@R@	Thailand depend on exports	exports have nothing to do with Thailand	No	1
want to be	pretend to be	A friend of mine want to be a musician	A friend of mine pretend to be a musician	No	1
tiptoe into	walk in from	her friends tiptoe into Dr.	her friends walk in from Dr.	No	1
fall in	scoreless in	Siegfried fall in love	Siegfried scoreless in love	No	1
congratulate	be proud of	McCain congratulate the victor	McCain be proud of the victor	No	1
stretch	ruin	Participants stretch their food dollars	Participants ruin their food dollars	No	1
need at	select at	your baby need at this age	your baby select at this age	No	1
read like	be the title of	this true story read like fiction	this true story be the title of fiction	No	1
prepare	throw	Participants prepare food	Participants throw food	No	1
hand	name	Bobby hand her clothes	Bobby name her clothes	No	1
take reservation for	offer for	the staff take reservation for meals	the staff offer for meals	No	1
want to be	feel like	the old man want to be president	the old man feel like president	No	1
say wonderful thing about	be disappointed with	The staff say wonderful thing about him	The staff be disappointed with him	No	1
mutter to	yell to	Threepio mutter to Artoo	Threepio yell to Artoo	No	1
surprise	interest	These activities surprise no one	These activities interest no one	No	1
be separated from	be connected with	The islands be separated from the mainland	The islands be connected with the mainland	No	1
do a lot of	do a little bit of	an engineer do a lot of work	an engineer do a little bit of work	No	1
put on	steal	Many churches put on plays	Many churches steal plays	No	1
expect	predict	dont expect a whole lot	dont predict a whole lot	No	1
own a number of	own a lot of	Time Warner own a number of cable networks	Time Warner own a lot of cable networks	No	1
be the supply of	be the mix of	The first be the supply of water	The first be the mix of water	No	1
be wounded in	survive	Five other soldiers be wounded in the attack	Five other soldiers survive the attack	No	1
have vision of	get a picture of	Harry have vision of his father	Harry get a picture of his father	No	1
try to change	be about to change	some women try to change things	some women be about to change things	No	1
continue with	keep up	safety continue with operations	safety keep up operations	No	1
reach out to	continue to work with	the project reach out to patients	the project continue to work with patients	No	1
have a proven record of	have a reputation for	Hypnosis have a proven record of success	Hypnosis have a reputation for success	No	1
do to	be bad for	your governments do to your children	your governments be bad for your children	No	1
have several version of	have two copy of	Offices have several version of Word	Offices have two copy of Word	No	1
be a part of	take part in	information be a part of the data	information take part in the data	No	1
cast on	manage to finish	a vote cast on Election Day	a vote manage to finish Election Day	No	1
be the supply of	be the chain of	The first be the supply of water	The first be the chain of water	No	1
be the supply of	be the sound of	The first be the supply of water	The first be the sound of water	No	1
be used in	be designed for	Antihistamines be used in addition	Antihistamines be designed for addition	No	1
drop on	have on	the atomic bomb drop on Hiroshima	the atomic bomb have on Hiroshima	No	1
mean focus on	be no substitute for	businesses mean focus on firms	businesses be no substitute for firms	No	1
mean eat	like to eat	Good nutrition mean eat fewer calories	Good nutrition like to eat fewer calories	No	1
be near	be from	the user be near the MFP	the user be from the MFP	No	1
be renowned for	admire	The College be renowned for its award	The College admire its award	No	1
arrive in	flee to	The ambassadors arrive in Japan	The ambassadors flee to Japan	No	1
invite	call upon	John invite his mother	John call upon his mother	No	1
memorize	rattle off	children memorize songs	children rattle off songs	No	1
be impressed with	be amazed at	The producer be impressed with his work	The producer be amazed at his work	No	1
become part of	become a province of	the background become part of the rhythm	the background become a province of the rhythm	No	1
like to play	go to play	Billy like to play golf	Billy go to play golf	No	0.8234
stay	remain up	the guests stay the night	the guests remain up the night	No	0.7895
try to make	make a lot of	Drew Barrymore try to make love	Drew Barrymore make a lot of love	No	0.7802
go on behind	come from behind	a lot go on behind the scenes	a lot come from behind the scenes	No	0.777
refund	mail	The store refund your money	The store mail your money	No	0.7755
stop	block	the bell stop ringing	the bell block ringing	No	0.7738
be held for	be retained for	classes be held for that semester	classes be retained for that semester	No	0.7732
run	own	Linda run the household	Linda own the household	No	0.7714
be introduced as	be cultivated as	The Porsche Carrera GT be introduced as a 2004 model	The Porsche Carrera GT be cultivated as a 2004 model	No	0.7698
be the source of	be the only source of	God be the source of perfect love	God be the only source of perfect love	No	0.7698
hear a lot about	read up on	Companies hear a lot about clustering	Companies read up on clustering	No	0.7672
be important to	be useful to	this service be important to members	this service be useful to members	No	0.7642
increase	consider up	Israel increase West Bank settlements	Israel consider up West Bank settlements	No	0.7618
be a man of	have a great sense of	Saul be a man of action	Saul have a great sense of action	No	0.7614
affect	spread to	decisions affect their lives	decisions spread to their lives	No	0.7613
be a natural part of	be all part of	Menopause be a natural part of a woman 's life	Menopause be all part of a woman 's life	No	0.757
perceive	conceive of	The disciples perceive his glory	The disciples conceive of his glory	No	0.7553
blogg about	write a book about	some doctors blogg about their patients	some doctors write a book about their patients	No	0.7521
donate to	want to donate to	Proceeds donate to charity	Proceeds want to donate to charity	No	0.7478
regret	apologise for	the aggressors regret their action	the aggressors apologise for their action	No	0.7458
look up at	turn toward	Amy look up at him	Amy turn toward him	No	0.7455
want a copy of	make copy of	The buyers want a copy of the insurance	The buyers make copy of the insurance	No	0.7451
assume	succeed to	the penis assume its original size	the penis succeed to its original size	No	0.7449
be an array of	be a set of	the return value be an array of the result	the return value be a set of the result	No	0.7437
dissect	scrutinize	your class dissect animals	your class scrutinize animals	No	0.7432
be pregnant at	be young at	Women be pregnant at the time of the survey	Women be young at the time of the survey	No	0.7418
lose all sense of	have any sense of	My friend lose all sense of reason	My friend have any sense of reason	No	0.7415
say without	answer with	Peter say without interest	Peter answer with interest	No	0.7398
score high on	sign up to take	Candidates score high on the Civil Service	Candidates sign up to take the Civil Service	No	0.739
avoid make	be free to make	Employees avoid make corrections	Employees be free to make corrections	No	0.7375
charge extra for	charge a small fee for	others charge extra for additional services	others charge a small fee for additional services	No	0.7373
punch	smack	Josiah punch him	Josiah smack him	No	0.7365
be defeated at	march to	the British forces be defeated at Yorktown	the British forces march to Yorktown	No	0.7339
pay attention to	pay close attention to	the public pay attention to the warning	the public pay close attention to the warning	No	0.7325
be entrusted with	entrust	The former be entrusted with duties	The former entrust duties	No	0.7322
edit	need to create	Many people edit the site	Many people need to create the site	No	0.7225
be get	move with	the UK be get a skills shortage	the UK move with a skills shortage	No	0.7199
be stationed in	spend a year in	American GIs be stationed in Europe	American GIs spend a year in Europe	No	0.7176
be recovered from	be isolated from	water samples be recovered from the field	water samples be isolated from the field	No	0.7176
settle down in	enjoy your stay in	the pigs settle down in the straw	the pigs enjoy your stay in the straw	No	0.7176
need to do to prepare for	begin to prepare for	students need to do to prepare for the competition	students begin to prepare for the competition	No	0.7176
hide from	curse	our society hide from its mistakes	our society curse its mistakes	No	0.7172
offer help with	find information on	This site offer help with a variety of subjects	This site find information on a variety of subjects	No	0.7171
do a lot of	be good at	spammers do a lot of spoofing	spammers be good at spoofing	No	0.715
be new to	take to	students be new to computer science	students take to computer science	No	0.7149
turn in	swivel in	humans turn in bed	humans swivel in bed	No	0.7143
be launched by	be plugged by	This project be launched by the World Bank	This project be plugged by the World Bank	No	0.7136
feature the work of	include interview with	The journal feature the work of members and nonmembers	The journal include interview with members and nonmembers	No	0.7132
be piece of	be small piece of	Cookies be piece of information	Cookies be small piece of information	No	0.7132
be used in	be designed to be used in	Hebrew be used in the Septuagint	Hebrew be designed to be used in the Septuagint	No	0.7131
make prediction about	help define	Users make prediction about the future	Users help define the future	No	0.7129
like to know more about	research	those of you like to know more about this game	those of you research this game	No	0.7126
mention	explain	The Gita mention the caste system	The Gita explain the caste system	No	0.7114
end up on	take to	Bulgaria end up on the losing side	Bulgaria take to the losing side	No	0.7112
recover without	go without	most people recover without any complications	most people go without any complications	No	0.7109
feel like	be treated like	a wedding feel like a daunting task	a wedding be treated like a daunting task	No	0.7109
be comparable to	set@R@	Gothic 3 be comparable to Oblivion	Oblivion set Gothic 3	No	0.7109
dream about	come to love	those people dream about whales	those people come to love whales	No	0.7108
set for	design for	Money set for retirement	Money design for retirement	No	0.7105
contain	be a rich source of	This page contain links	This page be a rich source of links	No	0.7104
be held at	be moved to	Funeral services be held at First Baptist Church	Funeral services be moved to First Baptist Church	No	0.7104
be safe with	come get@R@	your life be safe with God	God come get your life	No	0.7099
be watched by	be pursued by	your website be watched by your audience	your website be pursued by your audience	No	0.7099
go out to	leave for	this traffic go out to the internet	this traffic leave for the internet	No	0.7099
move about	dance around	visitors move about the site	visitors dance around the site	No	0.7093
be proud of	be thankful for	All of you be proud of yourselves	All of you be thankful for yourselves	No	0.7093
be divorced from	be unfaithful to	rarity be divorced from beauty	rarity be unfaithful to beauty	No	0.709
be developed in	be implemented in	Methadone be developed in Nazi Germany	Methadone be implemented in Nazi Germany	No	0.7084
make the best of	need to make the most of	the old man make the best of his way home	the old man need to make the most of his way home	No	0.708
emerge at	be written at	the new world order emerge at the end of the Cold War	the new world order be written at the end of the Cold War	No	0.7077
raise a couple of	be plagued with	the selection raise a couple of questions	the selection be plagued with questions	No	0.7077
make up	make up for	others make up fake ones	others make up for fake ones	No	0.7076
care about	trust	This man care about the whole world	This man trust the whole world	No	0.7072
affect	be harmful to	HIV/AIDS affect your life	HIV/AIDS be harmful to your life	No	0.7072
promise	owe	the state promise confidentiality	the state owe confidentiality	No	0.7069
be attracted to	be more attracted to	insects be attracted to a body	insects be more attracted to a body	No	0.7067
lobby	write letter to	a student group lobby the University	a student group write letter to the University	No	0.7067
care about	be worried about	This man care about the whole world	This man be worried about the whole world	No	0.7067
start in	be completed in	Building start in November	Building be completed in November	No	0.7063
sign all of	add more of	The United States sign all of these treaties	The United States add more of these treaties	No	0.7057
plan to send	continue to send	The European Space Agency plan to send an orbiter	The European Space Agency continue to send an orbiter	No	0.7057
pray to	cry out to	these people pray to our God	these people cry out to our God	No	0.7057
be a part of	be a large part of	The old covenant be a part of the Word of God	The old covenant be a large part of the Word of God	No	0.7057
be dedicated to work with	value our relationship with	Our team be dedicated to work with the patient	Our team value our relationship with the patient	No	0.7057
appear to	indicate to	God appear to Cornelius	God indicate to Cornelius	No	0.7056
need to do to prepare for	know the date of	students need to do to prepare for the competition	students know the date of the competition	No	0.7056
be a god of	be the giver of	God be a god of order	God be the giver of order	No	0.7052
pronounce	give	the children pronounce the name	the children give the name	No	0.705
show one of	be another view of	The picture show one of the seminars	The picture be another view of the seminars	No	0.7048
wet	soak	shower wet the floor	shower soak the floor	No	0.7045
have location in	maintain a private practice in	some of the national companies have location in your area	some of the national companies maintain a private practice in your area	No	0.7045
get one for	buy one for	My nephew get one for christmas	My nephew buy one for christmas	No	0.7045
be the ideal of	be the reality of	God be the ideal of every soul	God be the reality of every soul	No	0.7045
pump	extract	the mother pump gas	the mother extract gas	No	0.7045
exist on	be done on	a letter exist on the machine	a letter be done on the machine	No	0.7045
configure	encapsulate	the administrator configure the site	the administrator encapsulate the site	No	0.7045
influence	dictate	gender influence identity	gender dictate identity	No	0.7045
agree with	agree more with	Descartes agree with this view	Descartes agree more with this view	No	0.7045
exhibit	be born with	The miracles of Jesus exhibit Him	The miracles of Jesus be born with Him	No	0.7045
be handled in	be executed in	Horses be handled in such a way	Horses be executed in such a way	No	0.7045
look to meet	be excited to meet	School officials look to meet parents	School officials be excited to meet parents	No	0.7045
exit	drop out of	The water exit the body	The water drop out of the body	No	0.7045
earn a doctorate in	earn she doctorate in	the individual earn a doctorate in Metaphysics	the individual earn she doctorate in Metaphysics	No	0.7045
have a proven record of	be critical to	Hypnosis have a proven record of success	Hypnosis be critical to success	No	0.7045
work like	be something like	The plugin work like a charm	The plugin be something like a charm	No	0.7045
advise	caution	The Parish Council advise residents	The Parish Council caution residents	No	0.7045
disclose	interoperate	Companies disclose pay	Companies interoperate pay	No	0.7044
begin to talk to	go meet	Chris begin to talk to Gordie	Chris go meet Gordie	No	0.7043
be used on	be safe for	This information be used on an article	This information be safe for an article	No	0.704
be component of	be an essential component of	Archetypes be component of the collective unconscious	Archetypes be an essential component of the collective unconscious	No	0.7036
be a riot of	be littered with	The Tarot be a riot of images	The Tarot be littered with images	No	0.7032
lash	make landfall on	Hurricane Rita lash western Louisiana and eastern Texas	Hurricane Rita make landfall on western Louisiana and eastern Texas	No	0.7032
stay	spin	things stay the same	things spin the same	No	0.7032
partner with	be pleased to work with	Ford partner with Microsoft	Ford be pleased to work with Microsoft	No	0.7032
be to answer	be unable to answer	the Lord be to answer their request	the Lord be unable to answer their request	No	0.7032
relate to	describe	The colors relate to the body	The colors describe the body	No	0.7032
be available for	be available with	Scholarships be available for tuition	Scholarships be available with tuition	No	0.7032
be the possessor of	bestow	God be the possessor of His name	God bestow His name	No	0.7032
click on	double-click	Students click on the map	Students double-click the map	No	0.7031
be propagated to	be decoupled from	the changes be propagated to the primary database	the changes be decoupled from the primary database	No	0.7031
run into	walk into	Ben run into Jessica	Ben walk into Jessica	No	0.7031
look to meet	be grateful to	Danny look to meet the fans	Danny be grateful to the fans	No	0.703
do something about	be harder for@R@	Obama do something about health care costs	health care costs be harder for Obama	No	0.7028
prepare for	compete in	The police prepare for the elections	The police compete in the elections	No	0.7028
be presented to	be accepted by	a separation agreement be presented to the court	a separation agreement be accepted by the court	No	0.7027
be the ideal of	be the essence of	God be the ideal of every soul	God be the essence of every soul	No	0.7026
give away	want to give	the government give away $ 40 coupons	the government want to give $ 40 coupons	No	0.7026
accept	be happy to accept	the Customer accept that change	the Customer be happy to accept that change	No	0.7026
react to	be more sensitive to	an economy react to changes	an economy be more sensitive to changes	No	0.7025
concern	influence	This information concern the owners	This information influence the owners	No	0.7018
file	decide to file	patients file malpractice suits	patients decide to file malpractice suits	No	0.7018
affect	hurt	your choices affect the outcome	your choices hurt the outcome	No	0.7017
be thrilled to have	feel lucky to have	Jenny be thrilled to have the opportunity	Jenny feel lucky to have the opportunity	No	0.7017
be classified as	be used as	this email be classified as spam	this email be used as spam	No	0.7017
charge	require	the commodore 64 charge necessary monitors	the commodore 64 require necessary monitors	No	0.7016
compliment	match	the color of the dress compliment her skin tone	the color of the dress match her skin tone	No	0.7015
be ready to get to	get more into	the team be ready to get to the Championship game	the team get more into the Championship game	No	0.7014
abandon	lose	the entrepreneur abandon the property	the entrepreneur lose the property	No	0.7009
click on	need to click	Students click on the map	Students need to click the map	No	0.7008
progress towards	reach the stage of	the city progress towards regeneration	the city reach the stage of regeneration	No	0.7007
spend five year at	study law at	The Buddha spend five year at Rajgir	The Buddha study law at Rajgir	No	0.7007
stop by	pull into	Peyton stop by her old house	Peyton pull into her old house	No	0.7007
be open to	be reopened to	These meetings be open to the public	These meetings be reopened to the public	No	0.7007
be covered by	come with	vehicles be covered by auto insurance	vehicles come with auto insurance	No	0.7007
become possible for	make sense for	other countries become possible for the first time	other countries make sense for the first time	No	0.7007
be the face of	be the spirit of	Scarlett Johansson be the face of the new Dolce & Gabbana line of cosmetics	Scarlett Johansson be the spirit of the new Dolce & Gabbana line of cosmetics	No	0.7007
pay for	arrange for	employers pay for unemployment taxes	employers arrange for unemployment taxes	No	0.7007
love to make	plan to make	many people love to make money	many people plan to make money	No	0.7006
recover without	refer for	most people recover without any complications	most people refer for any complications	No	0.7006
make off with	drive off with	The thieves make off with TVs	The thieves drive off with TVs	No	0.7004
be published in	be published at	This book be published in the UK.	This book be published at the UK.	No	0.7001
let out	fall with	Leah let out a sigh	Leah fall with a sigh	No	0.7001
be good as	surpass	our children be good as theirs	our children surpass theirs	No	0.7001
purchase	be owned by@R@	those users purchase online	online be owned by those users	No	1
take on	take on@R@	NOT take on more debt	more debt take on NOT	No	1
want to be	s degree in	A friend of mine want to be a musician	A friend of mine s degree in a musician	No	1
feed	count	the artery feed the fibroid	the artery count the fibroid	No	1
be all over	love	content be all over the internet	content love the internet	No	1
defend	think to	Iran defend itself	Iran think to itself	No	1
open up a lot of	leave lot of	my degree open up a lot of doors	my degree leave lot of doors	No	1
hit	push	WoW hit the shelves	WoW push the shelves	No	1
be used by	diese@R@	formats be used by other systems	other systems diese formats	No	1
tiptoe into	hear something in	her friends tiptoe into Dr.	her friends hear something in Dr.	No	1
take note of	say of	yes take note of mine	yes say of mine	No	1
be covered by	be employed by	vehicles be covered by auto insurance	vehicles be employed by auto insurance	No	1
present within	be released within	the articles present within this page	the articles be released within this page	No	1
assume	overlook	the penis assume its original size	the penis overlook its original size	No	1
exit	step of	The water exit the body	The water step of the body	No	1
come visit	come check out	Bill come visit last month	Bill come check out last month	No	1
dream	prefix	No one dream this up	No one prefix this up	No	1
relate to	feel about	The colors relate to the body	The colors feel about the body	No	1
be right for	meet the need of	a center be right for your needs	a center meet the need of your needs	No	1
be compounded by	compound	The problem be compounded by rains	The problem compound rains	No	1
do more on	come up with on	Japan do more on security	Japan come up with on security	No	1
be normal for	be rare for	the water be normal for wells	the water be rare for wells	No	1
be tested to	be filled to	Some parts be tested to newman 's lasting machine laboratory	Some parts be filled to newman 's lasting machine laboratory	No	1
visit in	plan to visit	no one visit in years	no one plan to visit years	No	1
get in	come	The stuff get in their eyes	The stuff come their eyes	No	1
be returned to	be taken to	hits be returned to the screen	hits be taken to the screen	No	1
live with	share with	local residents live with cancer	local residents share with cancer	No	1
undertake	lie	These companies undertake major changes	These companies lie major changes	No	1
like about	enjoy about	qualities like about your character	qualities enjoy about your character	No	1
close	cancel	God close a door	God cancel a door	No	1
say from behind	smirk at	A male voice say from behind him	A male voice smirk at him	No	1
write for	be editor of	stand-up write for television	stand-up be editor of television	No	1
stand at	come knock at	Aliens stand at attention	Aliens come knock at attention	No	1
fall for	hit on	the U.S. fall for months	the U.S. hit on months	No	1
take a flight to	be the capital city of@R@	Clinton take a flight to the Middle East	the Middle East be the capital city of Clinton	No	1
say from behind	kneel beside	A male voice say from behind him	A male voice kneel beside him	No	1
be the shock of	be the note of	any time be the shock of battle	any time be the note of battle	No	1
have a role to play in	have something to contribute to	patient care have a role to play in safety	patient care have something to contribute to safety	No	1
kill	do to	Tosca kill him	Tosca do to him	No	1
want in	know in	a guy want in a movie	a guy know in a movie	No	1
share	be remanded in	Write share your voice	Write be remanded in your voice	No	1
want as	do as	their kids want as costumes	their kids do as costumes	No	1
reach about	drop about	my son reach about 6 years	my son drop about 6 years	No	1
be an avid user of	export from	Sherlock Holmes be an avid user of opium	Sherlock Holmes export from opium	No	1
strike	be hit by@R@	The clock strike nine	nine be hit by The clock	No	1
infiltrate	mimic	a young man infiltrate the area	a young man mimic the area	No	1
be blended into	fold in@R@	the hair be blended into your own hair	your own hair fold in the hair	No	1
flaunt	sag	The film flaunt great performances	The film sag great performances	No	1
shoot all over	ooze out of	Cum shoot all over his chest	Cum ooze out of his chest	No	1
protect	cover	the Mediterranean diet protect the heart	the Mediterranean diet cover the heart	No	1
be get	record	PAXIL be get help	PAXIL record help	No	1
add to	be resuspended in	consumers add to their shopping cart	consumers be resuspended in their shopping cart	No	1
fix	assure	men fix their bayonets	men assure their bayonets	No	1
meet on	be held	The clubs meet on Long Island	The clubs be held Long Island	No	1
mean for	be possible for	the horizon mean for players	the horizon be possible for players	No	1
stop with	get sick of	the changes stop with childbirth	the changes get sick of childbirth	No	1
be been for	rain for	nobody be been for a second bottle	nobody rain for a second bottle	No	1
manifest	arise from	the national body manifest itself	the national body arise from itself	No	1
need to do	run his hand through	the University need to do more	the University run his hand through more	No	1
require from	explore from	Recovery require from a few days	Recovery explore from a few days	No	1
be generous of	be great to see	Some of them be generous of their time	Some of them be great to see their time	No	1
work	spend	my audio work fine	my audio spend fine	No	1
choose	adopt	The gameplay choose weapon	The gameplay adopt weapon	No	1
crunch	catalog	a price war crunch prices	a price war catalog prices	No	1
be something with	have a laptop with	the search engines be something with many variables	the search engines have a laptop with many variables	No	1
rub	cock	the dust rub itself	the dust cock itself	No	1
wake up in	walk out of	THE GUYS wake up in THE MORNING	THE GUYS walk out of THE MORNING	No	1
notice some of	have many of	The crew notice some of the damage	The crew have many of the damage	No	1
affect to	inform to	lupus affect to the kidney	lupus inform to the kidney	No	1
struggle into	don	Mortenson struggle into the village of Korphe	Mortenson don the village of Korphe	No	1
seem to occur to	make any sense for	a thought seem to occur to him	a thought make any sense for him	No	1
travel for	travel on	the latter travel for six years	the latter travel on six years	No	1
open up a lot of	open door for	my degree open up a lot of doors	my degree open door for doors	No	1
stop at	pull up to	This book stop at the same place	This book pull up to the same place	No	1
mark in	partner in	The fields mark in bold	The fields partner in bold	No	1
lie to	lay to	Jacob lie to his blind father	Jacob lay to his blind father	No	1
try to pick up	start hit on	Investors try to pick up the pieces	Investors start hit on the pieces	No	1
manage	remain	The VA manage hospitals	The VA remain hospitals	No	1
be used on	be performed on	This information be used on an article	This information be performed on an article	No	1
choose	invite	The host choose the movie	The host invite the movie	No	1
be cut into	slice into	layers be cut into the hair	layers slice into the hair	No	1
be all over	run with	content be all over the internet	content run with the internet	No	1
need at	provide at	your baby need at this age	your baby provide at this age	No	1
dream	single	No one dream this up	No one single this up	No	1
be spent in	find your hotel in	His formative years be spent in London	His formative years find your hotel in London	No	1
please tell	please hesitate to contact	suggestions please tell your friends	suggestions please hesitate to contact your friends	No	1
grab	suffer	Whistler grab him	Whistler suffer him	No	1
tease	sell before@R@	The guys tease their fans	their fans sell before The guys	No	1
enter on	need to fill out	Press enter on your keyboard	Press need to fill out your keyboard	No	1
scratch at	put one hand on	their voices scratch at her ears	their voices put one hand on her ears	No	1
be all in	enter	the lists be all in one spot	the lists enter one spot	No	1
need to replace	try replace	use need to replace the cartridges	use try replace the cartridges	No	1
take up a lot of	eat up	all of them take up a lot of room	all of them eat up room	No	1
offer a master of	be majoring in	The Department of Biology offer a master of science degree	The Department of Biology be majoring in science degree	No	1
go out to	hurt for	this traffic go out to the internet	this traffic hurt for the internet	No	1
come with	have one bedroom with	Satisfaction come with achievement	Satisfaction have one bedroom with achievement	No	1
be proud of	share with	Greenwich be proud of its maritime history	Greenwich share with its maritime history	No	1
be all for	advocate	my fears be all for naught	my fears advocate naught	No	1
be ready for	notice	the treatment be ready for use	the treatment notice use	No	1
be arrested in	be charged with	Four people be arrested in connection	Four people be charged with connection	No	1
speed	figure	A fan speed air circulation	A fan figure air circulation	No	1
be though	be besides@R@	Drinks be though expensive	expensive be besides Drinks	No	1
come into	be the love of	The Freedom of Information Act come into operation	The Freedom of Information Act be the love of operation	No	1
fall in	fall on	a senior fall in her home	a senior fall on her home	No	1
be cremated in	hate live in	His body be cremated in England	His body hate live in England	No	1
ruin	try to make	errors ruin your credit scores	errors try to make your credit scores	No	1
launch	release	folks launch a business	folks release a business	No	1
be a rite of	be bird of	male circumcision be a rite of passage	male circumcision be bird of passage	No	1
add to	be due to	consumers add to their shopping cart	consumers be due to their shopping cart	No	1
send a message to	telephone	the ruling send a message to the state	the ruling telephone the state	No	1
break	fracture	Ben break the expense	Ben fracture the expense	No	1
tackle	belong	Buffy tackle Faith	Buffy belong Faith	No	1
get to pay for	get to pay	Somebody get to pay for sin	Somebody get to pay sin	No	1
use the information for	do be for	Teachers use the information for curriculum development	Teachers do be for curriculum development	No	1
scratch at	look out	their voices scratch at her ears	their voices look out her ears	No	1
revert to	turn into	the rights revert to the author	the rights turn into the author	No	1
be opposed in	be devoted in	This blow be opposed in the 1950s	This blow be devoted in the 1950s	No	1
be divorced from	remarry	rarity be divorced from beauty	rarity remarry beauty	No	1
pull	run a hand through	the thief pull a gun	the thief run a hand through a gun	No	1
approach	explain to	the temperature approach zero	the temperature explain to zero	No	1
be blended into	add a small amount of@R@	the hair be blended into your own hair	your own hair add a small amount of the hair	No	1
be best to avoid	continue to avoid	morning be best to avoid the crowds	morning continue to avoid the crowds	No	1
be weary of	be keeper of	a United States be weary of war	a United States be keeper of war	No	1
see to	make sure of	China 's internet satellites see to internetcafe	China 's internet satellites make sure of internetcafe	No	1
stretch	fuck	Participants stretch their food dollars	Participants fuck their food dollars	No	1
mean to post	be the link to	Sorry mean to post anon	Sorry be the link to anon	No	1
be out in	have bathroom with@R@	your kids be out in the sun	the sun have bathroom with your kids	No	1
expect to meet	take to meet	the works expect to meet the unexpected	the works take to meet the unexpected	No	1
be controlled by	be used by	The United States be controlled by money	The United States be used by money	No	1
wet	crap	shower wet the floor	shower crap the floor	No	1
be lit at	be closed from	lanterns be lit at night	lanterns be closed from night	No	1
spend	hide	shoppers spend less	shoppers hide less	No	1
be made in	be made during	the two be made in Heaven	the two be made during Heaven	No	1
pump	emerge	the mother pump gas	the mother emerge gas	No	1
be remembered with	be mentioned with	this event be remembered with fireworks	this event be mentioned with fireworks	No	1
be arrested in	be extradited to	Four people be arrested in connection	Four people be extradited to connection	No	1
be the color of	be the smell of	bugtrackers be the color of the designer/programmer	bugtrackers be the smell of the designer/programmer	No	1
experience	afford	each individual experience symptoms	each individual afford symptoms	No	1
be the meaning of	know the meaning of	Such be the meaning of polytheism	Such know the meaning of polytheism	No	1
show one of	remove one of	The picture show one of the seminars	The picture remove one of the seminars	No	1
wait on	hang out on	a client wait on a message	a client hang out on a message	No	1
be recovered from	be healed from	water samples be recovered from the field	water samples be healed from the field	No	1
start with	order	Every day start with a trip	Every day order a trip	No	1
travel	travel to	friends travel thousands of miles	friends travel to thousands of miles	No	1
get through to	get to talk to	your post get through to the list	your post get to talk to the list	No	1
feel right at	stay closer to	Different roles feel right at different times	Different roles stay closer to different times	No	1
be behind	be inside	the driver be behind the wheel	the driver be inside the wheel	No	1
be written in	be developed use	the text be written in Japanese	the text be developed use Japanese	No	1
kill over	be killed in@R@	fish kill over the winter	the winter be killed in fish	No	1
cool in	be baked in	the Sun cool in millions of years	the Sun be baked in millions of years	No	1
destroy	permit	an earthquake destroy the city	an earthquake permit the city	No	1
need be	be asked for	All you need be Firefox	All you be asked for Firefox	No	1
resist	be used above	problems resist solution	problems be used above solution	No	1
be grateful to	thank all of	the editor be grateful to the DVD	the editor thank all of the DVD	No	1
get in	start in	the alumni get in touch	the alumni start in touch	No	1
optimize	conclude	This software optimize your hard disk	This software conclude your hard disk	No	1
join	be a found member of	the sigmoid colon join the rectum	the sigmoid colon be a found member of the rectum	No	1
